Marca;Modelo;Mediana_Preço
BRANCO;PULVERIZADOR COSTAL BRANCO BPC20 (MANUAL);480.0
BRANCO;PULVERIZADOR COSTAL MANUAL DOMÉSTICO 5,0 L BRANCO BP 5.0M;109.0
BRUDDEN;PULVERIZADOR BOMBA COSTAL MANUAL E ELÉTRICO A BATERIA 20L;447.0
BRUDDEN;PULVERIZADOR COSTAL AGRICOLA MANUAL 12 LITROS S12 BRUDDEN;299.0
BRUDDEN;PULVERIZADOR COSTAL BRUDDEN SS20B SEM FIO BAT MANUAL 2 EM 1 ;434.0
BRUDDEN;PULVERIZADOR COSTAL ELÉTRICO A BATERIA E MANUAL 20L BRUDDEN;495.0
BRUDDEN;PULVERIZADOR COSTAL MANUAL AGRÍCOLA E JARDINAGEM 12 LITROS;307.0
BRUDDEN;PULVERIZADOR COSTAL MANUAL DE ALTA PRESSÃO P/ VENENO 12L S12;296.0
BRUDDEN;PULVERIZADOR COSTAL SS20B 20L MANUAL E ELÉTRICO A BATERIA;419.0
BRUDDEN;PULVERIZADOR ELÉTRICO COSTAL 2 EM 1 MANUAL 20 LITROS BRUDDEN;514.0
HUSQVARNA;PULVERIZADOR BOMBA MANUAL COSTAL 20 LITROS HUSQVARNA 320SM;294.5
HUSQVARNA;PULVERIZADOR BOMBA MANUAL COSTAL HUSQVARNA 320SM 20L INOX;266.0
HUSQVARNA;PULVERIZADOR COSTAL MANUAL HUSQVARNA 320SM 20L 970650701;319.5
JACTO;PULVERIZADOR AGRÍCOLA COSTAL MANUAL 16 L + ACESSORIOS NOLL COR AZUL;235.0
JACTO;PULVERIZADOR BOMBA COSTAL 20L MANUAL VENENO XP20 JACTO      ;361.0
JACTO;PULVERIZADOR BORRIFADOR MANUAL COSTAL 20 LITROS JACTO XP 20L;419.0
JACTO;PULVERIZADOR COSTAL BOMBA MANUAL 20L PULVERIZAÇÃO JACTO XP20;396.0
JACTO;PULVERIZADOR COSTAL JACTOXP 20LT  ALTA PERFORMANCE MANUAL;399.0
JACTO;PULVERIZADOR COSTAL MANUAL 20 LITROS XP20 JACTO C/ GARANTIA;359.0
JACTO;PULVERIZADOR COSTAL MANUAL AGRÍCOLA XP20 JACTO 20 LITROS;362.0
JACTO;PULVERIZADOR COSTAL MANUAL JACTO PJH 20L COR AZUL;419.0
JACTO;PULVERIZADOR COSTAL MANUAL XP-12 12LT - JACTO;330.0
KAWASHIMA;BOMBA DE VENENO PULVERIZADOR COSTAL BATERIA E MANUAL 20L PK0;398.0
KAWASHIMA;BOMBA PULVERIZADORA COSTAL MANUAL PVC 20 LITROS KAWASHIMA;349.0
KAWASHIMA;KAWASHIMA PULVERIZADOR COSTAL 2 EM 1 ELÉTRICO E MANUAL 20 L ;368.0
KAWASHIMA;KIT 2 PULVERIZADOR COSTAL ELÉTRICO E MANUAL 12X SEM JUROS;1259.0
KAWASHIMA;PULVERIZADOR AGRÍCOLA COSTAL MANUAL 20L KAWASHIMA 82-10010;196.5
KAWASHIMA;PULVERIZADOR AGRÍCOLA COSTAL MANUAL E BATER 20L KAWASHIMA NF;489.0
KAWASHIMA;PULVERIZADOR BOMBA COSTAL 20 LITROS ELÉTRICO E MANUAL  ;379.0
KAWASHIMA;PULVERIZADOR COSTAL 2 EM 1 20L - MANUAL E BATERIA 2,9 L/MIN ;535.0
KAWASHIMA;PULVERIZADOR COSTAL 2 EM 1 ELÉTRICO E MANUAL 20 LITROS PRO;391.0
KAWASHIMA;PULVERIZADOR COSTAL 20L ELÉTRICO (A BATERIA) E MANUAL BIVOLT;400.0
KAWASHIMA;PULVERIZADOR COSTAL 20LITROS 2EM1 ELÉTRICO(BATERIA) E MANUAL;379.0
